Old Ticker,New Ticker,Effective Date
MCEM,MCEMD,12/22/2014
JPZ,BXMX,12/22/2014
JPG,SPXX,12/22/2014
TWYF,HUTN,12/19/2014
REMO,REMOE,12/19/2014
NAPO,NAPOE,12/19/2014
DMRN,DMRNE,12/19/2014
ARKIE,ARKI,12/19/2014
ACCPD,PTBI,12/19/2014
ACCP,PTBI,12/19/2014
MKAC,PIRS,12/17/2014
KLXIV,KLXI,12/17/2014
DSFNE,DSFN,12/17/2014
TOPW,IBXM,12/16/2014
SIAF,SIAFD,12/16/2014
PRIME,PRIME,PREF B 12/16/2014
IBXME,IBXM,12/16/2014
QSR.V,QSR,12/15/2014
SLOT,SLOTD,12/12/2014
SKLND,SKLN,12/12/2014
OVET,MDCR,12/12/2014
JUDOE,JUDO,12/12/2014
CTEKD,SIXD,12/12/2014
CTEK,SIXD,12/12/2014
ACTCD,OCAT,12/12/2014
ACTC,OCAT,12/12/2014
LBKRV,LBRKR,12/11/2014
CYOE,MDIT,12/11/2014
AVRN,AVRND,12/11/2014
ADSN,ADSND,12/10/2014
ROCPE,ROCP,12/9/2014
RVEND,RVEN,12/8/2014
OLYB,RMRI,12/8/2014
SDDLD,KNMX,12/5/2014
SDDL,KNMX,12/5/2014
PATR,FRPH,12/5/2014
MOXGD,ITGUD,12/5/2014
MOXG,ITGUD,12/5/2014
ITGU,ITGUD,12/5/2014
EURC,ESDI,12/5/2014
CTSO,CTSOD,12/5/2014
SSRGV,SSRG,12/4/2014
ACMG,SIHC,12/4/2014
XREGE,XREG,12/3/2014
WLP,ANTM,12/3/2014
MPLO,MLPO,12/3/2014
BPHX,MDSY,12/3/2014
DMHIE,DMHI,12/2/2014
BWPCE,BWPC,12/2/2014
BSRAE,BSRAF,12/2/2014
TTNS,MJTK,12/1/2014
GSJK,CCLP,12/1/2014
CRC.V,CRC,12/1/2014
UBS.V,UBS,11/28/2014
TNTYE,TNTY,11/28/2014
KOJAD,NWMH,11/27/2014
KOJA,NWMH,11/27/2014
TAYOE,TAYO,11/26/2014
SMFIE,SMFI,11/26/2014
PRCD,LEAI,11/26/2014
LGLRD,NMUS,11/26/2014
LGLR,NMUS,11/26/2014
CSVNE,CSVN,11/26/2014
BANCP,BANC$C,11/26/2014
ASTM,VCEL,11/25/2014
AMFW.V,AMFW,11/25/2014
XREG,XREGE,11/24/2014
UBS,OUBS,11/24/2014
TOPW,IBXME,11/24/2014
TAYO,TAYOE,11/24/2014
STWCE,STWC,11/24/2014
ROCP,ROCPE,11/24/2014
PBFI,PBFIE,11/24/2014
MYRYE,MYRY,11/24/2014
JUDO,JUDOE,11/24/2014
IBXM,IBXME,11/24/2014
HCH,STEF,B 11/24/2014
GDGR,GDGRE,11/24/2014
FHGR,STWC,11/24/2014
DMHI,DMHIE,11/24/2014
CSVN,CSVNE,11/24/2014
CPHMF,CPHR,11/24/2014
ASTV,ASTVE,11/24/2014
ANAV,ANAVE,11/24/2014
WLOCD,SHLE,11/21/2014
WLOC,SHLE,11/21/2014
SCTPF,TRIL,11/21/2014
RECAP,B,ADMCAP B 11/21/2014
MOXCE,MOXC,11/21/2014
IDBCQ,IDBQE,11/21/2014
FPCGD,FPCG,11/21/2014
EONVF,EURN,11/21/2014
BHRR,MORE,11/21/2014
BBRDD,BBRD,11/21/2014
VVTV,EVLV,11/20/2014
TNTY,TNTYE,11/20/2014
STWC,STWCE,11/20/2014
SMFI,SMFIE,11/20/2014
PNCHD,IMTV,11/20/2014
PNCH,IMTV,11/20/2014
MYRY,MYRYE,11/20/2014
MOXC,MOXCE,11/20/2014
MLRKD,MLRKF,11/20/2014
FHGR,STWCE,11/20/2014
CVSLD,CVSL,11/20/2014
CLADD,CLAD,11/20/2014
CBSO,OUT,11/20/2014
ARKI,ARKIE,11/20/2014
SVLED,SVLE,11/19/2014
SLTFD,SLTFF,11/19/2014
EONVF,EURN,11/19/2014
BOVKD,BOVKF,11/19/2014
KLOV,KLOV,A 11/18/2014
GSKNE,GSKNF,11/18/2014
GNKWE,GNKWF,11/18/2014
GNKSF,GNKWF,11/18/2014
VSTFF,ARHTF,11/17/2014
VPRT,CMPR,11/17/2014
VNMC,VNMCD,11/17/2014
TEMN,DKTS,11/17/2014
PMLDD,PMLDY,11/17/2014
GMRE,GMRED,11/17/2014
EOPTE,EOPT,11/17/2014
CBULF,CBULD,11/17/2014
BKTPF,BKTPD,11/17/2014
BISU,BISUD,11/17/2014
APDND,APDN,11/17/2014
